name,state,Point_Count
Aizawl,Mizoram,0
Anjaw,Arunachal Pradesh,0
Baksa,Assam,0
Barpeta,Assam,4
Bishnupur,Manipur,1
Biswanath,Assam,0
Bongaigaon,Assam,0
Cachar,Assam,0
Champhai,Mizoram,0
Chandel,Manipur,0
Changlang,Arunachal Pradesh,0
Charaideo,Assam,0
Chirang,Assam,1
Churachandpur,Manipur,0
Darrang,Assam,0
Dhalai,Tripura,10
Dhemaji,Assam,0
Dhubri,Assam,0
Dibang Valley,Arunachal Pradesh,0
Dibrugarh,Assam,7
Dima Hasao,Assam,1
Dimapur,Nagaland,3
East District,Sikkim,0
East Garo Hills,Meghalaya,0
East Jaintia Hills,Meghalaya,0
East Kameng,Arunachal Pradesh,0
East Khasi Hills,Meghalaya,0
East Siang,Arunachal Pradesh,0
Goalpara,Assam,0
Golaghat,Assam,1
Gomati,Tripura,5
Hailakandi,Assam,0
Hnahthial,Mizoram,1
Hojai,Assam,17
Imphal East,Manipur,9
Imphal West,Manipur,0
Jiribam,Manipur,0
Jorhat,Assam,0
Kakching,Manipur,0
Kamjong,Manipur,1
Kamle,Arunachal Pradesh,0
Kamrup,Assam,0
Kamrup Metro,Assam,4
Kangpokpi,Manipur,35
Karbi Anglong,Assam,1
Karimganj,Assam,0
Khawzawl,Mizoram,0
Khowai,Tripura,0
Kiphire,Nagaland,0
Kohima,Nagaland,9
Kokrajhar,Assam,6
Kolasib,Mizoram,0
Kra Daadi,Arunachal Pradesh,0
Kurung Kumey,Arunachal Pradesh,0
Lakhimpur,Assam,1
Lawngtlai,Mizoram,0
Leparada,Arunachal Pradesh,0
Lohit,Arunachal Pradesh,0
Longding,Arunachal Pradesh,0
Longleng,Nagaland,0
Lower Dibang Valley,Arunachal Pradesh,0
Lower Siang,Arunachal Pradesh,0
Lower Subansiri,Arunachal Pradesh,0
Lunglei,Mizoram,0
Majuli,Assam,0
Mamit,Mizoram,0
Marigaon,Assam,0
Mokokchung,Nagaland,3
Mon,Nagaland,0
Nagaon,Assam,1
Nalbari,Assam,0
Namsai,Arunachal Pradesh,0
Noklak,Nagaland,0
Noney,Manipur,0
North District,Sikkim,0
North Garo Hills,Meghalaya,0
North Tripura,Tripura,0
Pakke Kessang,Arunachal Pradesh,0
Papum Pare,Arunachal Pradesh,0
Peren,Nagaland,0
Phek,Nagaland,0
Pherzawl,Manipur,0
Ri Bhoi,Meghalaya,0
Saiha,Mizoram,0
Saitual,Mizoram,0
Senapati,Manipur,5
Sepahijala,Tripura,0
Serchhip,Mizoram,0
Shi Yomi,Arunachal Pradesh,0
Siang,Arunachal Pradesh,0
Sivasagar,Assam,1
Sonitpur,Assam,6
South District,Sikkim,0
South Garo Hills,Meghalaya,0
South Salmara Mancachar,Assam,0
South Tripura,Tripura,0
South West Garo Hills,Meghalaya,0
South West Khasi Hills,Meghalaya,0
Tamenglong,Manipur,10
Tawang,Arunachal Pradesh,0
Tengnoupal,Manipur,6
Thoubal,Manipur,0
Tinsukia,Assam,0
Tirap,Arunachal Pradesh,0
Tuensang,Nagaland,2
Udalguri,Assam,7
Ukhrul,Manipur,1
Unakoti,Tripura,0
Upper Siang,Arunachal Pradesh,0
Upper Subansiri,Arunachal Pradesh,0
West District,Sikkim,0
West Garo Hills,Meghalaya,0
West Jaintia Hills,Meghalaya,0
West Kameng,Arunachal Pradesh,0
West Karbi Anglong,Assam,0
West Khasi Hills,Meghalaya,0
West Siang,Arunachal Pradesh,0
West Tripura,Tripura,5
Wokha,Nagaland,1
Zunheboto,Nagaland,3